episode,mean_reward,sd_reward,min_reward,max_reward,mean_td_error,sd_td_error,min_td_error,max_td_error
0,-0.06419216349320969,0.06419216349320969,-0.12838432698641938,0.0,-0.06419216349320969,0.06419216349320969,-0.12838432698641938,0.0
10000,3.025545333576143,2.375840573244481,-0.21761288068678367,4.986184489442036,0.3519953335761513,1.701883166232484,-4.3383843269863895,4.7324139263017635
20000,3.2370793911776135,2.3040139004863187,-0.2176220101141199,4.986184489442036,0.09040939117765354,1.4375468675461176,-4.4683843269863734,4.87161567301358
30000,3.125105693108686,2.3454833408132254,-0.2176220101141199,4.986184489442036,-0.03163430689124491,1.5690474111022032,-4.438384326986358,4.632387119313216
40000,3.200470911519271,2.3148421070718928,-0.21761642741746148,4.986184489442036,0.024660911519366037,1.580608781980273,-4.432179382786788,4.8878206172131105
50000,3.163045411811379,2.3300959548053877,-0.2176220101141199,4.986184489442036,-0.12515458818849742,1.5298122627161916,-4.448384326986303,4.607820617213112
60000,3.1471996255519534,2.3331281995294977,-0.21761642741746148,4.986184489442036,-0.16715037444789682,1.6293615972877864,-4.428384326986241,4.561615673013582
70000,3.242937676822168,2.2957953272409344,-0.21761166314262065,4.986184489442036,-0.1589723231776494,1.597564140412431,-4.438384326986295,4.8878206172131105
80000,3.4445640610810004,2.201083019230251,-0.21759089680665833,4.986184489442036,-0.10554593891878482,1.547465072803205,-4.428384326986195,4.87161567301358
90000,3.506308364880808,2.169496606479432,-0.21761642741746148,4.986184489442036,-0.07858163511894863,1.5560041701807095,-4.43838432698629,4.607820617213114
100000,3.4268959704109148,2.2109882098966667,-0.21761288068678367,4.986184489442036,-0.14332402958881746,1.6155507206725919,-4.438384326986125,4.87161567301358
110000,3.567749040339908,2.1317935699597226,-0.21758607369823674,4.986184489442036,-0.09503095965979363,1.6441918128566841,-4.438384326986118,4.8878206172131105
120000,3.5124630746759102,2.1651935255505426,-0.21761642741746148,4.986184489442036,-0.1447669253237571,1.662180493418592,-4.438384326986165,4.782822334434248
130000,3.646472935350245,2.0820246575357038,-0.21761642741746148,4.986184489442036,-0.1219170646493853,1.6891459488150598,-4.428384326986144,4.3225462175113005
140000,3.666247478900795,2.0729740493967044,-0.2176220101141199,4.986184489442036,-0.03881252109881504,1.6150206183897011,-4.4283843269858165,1.5561844894420949
150000,3.7712222776547604,2.001001312315601,-0.2176220101141199,4.986184489442036,-0.03816772234481039,1.5504456821067294,-4.428384326985788,1.2361844894426621
