steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
10000	9112	28.313728094100952	2.1057637233531166	1.3298105067894503	2.150936944511004	4.474988811961013	-0.025314694692313407	2.1688299404175515	0	0
20000	18195	57.71517205238342	2.1149449437811105	2.37617486724253	1.902224930014306	4.4751729597262555	-0.22938912671789327	2.065618614997462	0	0
30000	27241	88.94054079055786	1.7354090726506397	2.37345495150525	1.4279125343723806	4.4747761618512	0.18397905013450866	2.0963120080477533	0	0
40000	36266	119.03538155555725	1.8854459114758995	1.325040572940526	2.000996521700948	4.475037559555302	-0.12350396679832903	1.9871964908936843	0	0
50000	45301	149.14386367797852	2.5860693108704966	3.425594660206757	2.087186565630237	4.475299206640334	0.2720357293108481	2.0431117959455416	0	0
60001	54549	180.01213479042053	1.9148854175579826	1.325360378513137	1.9726148394297895	4.475799860636425	-0.12350396679832903	2.2003367548528017	0.018280006035377983	11
70000	63854	210.51061749458313	1.634148296661028	0.2714361201771389	2.0892361938980124	4.475484519952254	-0.12597682195084353	2.2660176107255445	0.03602038503252198	20
80000	73132	241.19626235961914	1.454361859757395	0.2773931336003405	1.84134311481338	4.47490362366753	-0.22748188262747668	2.27003293146289	0.048363662642974606	30
90000	82380	271.7620441913605	0.814321162538457	0.2698613391188124	1.470668941847673	4.4752845285686	-0.12430429531825962	2.2665765045952497	0.06455639024504185	40
100001	91561	302.56095814704895	1.7068997696821564	2.3740794036703434	1.4645417862921528	4.47497868592843	-0.024879681158875306	2.1263338000030463	0.07536796300536092	51
110000	100632	333.94490242004395	2.2259588382004996	2.3749993377411727	2.1598860626996004	4.474988811961013	-0.22915728171882951	2.218459079873507	0.0861132810795472	60
120000	109503	365.4707818031311	1.2469464642681833	1.32393818273175	1.1958782161467956	2.3766073935599663	-0.12424726653520271	2.1987176951192153	0.08874634732908739	70
130000	118398	397.01377844810486	1.4059632775470425	1.324479606157895	1.6061302310087557	4.47497868592843	-0.32183786186691243	2.222057949029742	0.0939335707693679	80
140000	127109	428.4448175430298	2.975462295625368	3.426909505826728	1.7832024524738528	4.475319692617217	-0.024579802597985503	2.2415658669349363	0.09941716905701097	90
150001	135657	460.3096709251404	1.8452952090844048	1.3267460700522222	2.041878882293397	4.474823420571716	-0.230662640106716	2.1158872836881946	0.11311843501248814	101
160000	143928	491.49587321281433	2.793354383993227	2.3749856688514597	1.6554883895573367	4.47511267887619	0.27288688201388717	2.1565436635350776	0.12308180644828212	110
170000	151949	522.7624063491821	2.5281812776755603	2.373162860386678	1.913557506578235	4.4754201974020145	-0.2277095805574165	2.1484996962133893	0.1293025091595398	120
180000	160183	554.0381526947021	2.1382951568025153	1.326474387925144	2.116090128149938	4.4754498522784525	0.09485543313188444	2.114830247891684	0.14056964909853745	130
190000	168402	585.3129003047943	2.1268775551808723	1.3270273790508669	2.1283287696399094	4.47511267887619	-0.024827040273744654	2.1735843249168867	0.14984957127845633	140
200000	176449	616.5507211685181	2.3273006343517286	2.3754055509317578	1.7817417348345128	4.475799854149952	-0.02547031035520007	2.0324457342172373	0.1512718800340967	150
210000	184181	647.7742919921875	1.6943542980694009	1.3241755816492784	1.7759858764856153	4.47520125581837	-0.03564080247652386	2.051170649798441	0.15736920810658864	160
220000	191707	679.4148342609406	1.89486523042405	1.3250900910502703	1.9910551132714296	4.475498550478209	-0.22252071767779705	2.1345196486083498	0.15904333302100054	170
230000	199583	710.70334649086	1.4170215046986157	1.325413026442881	1.59276836886761	4.475234973448506	-0.42275338441454546	2.178150966061076	0.15730010210911727	180
240000	207521	741.9552900791168	0.9515458328349277	0.12202001370021509	1.8629622367490193	4.475197100956418	-0.12584627329427972	2.124861926276212	0.1610652322591185	190
250000	215388	773.1922118663788	2.5750942255396416	2.373318030083462	1.5649788673635097	4.475319692617217	0.18477390277345057	2.1171066379397017	0.1595719432995524	200
260002	223227	804.4343690872192	0.97133488266351	0.2288701503540829	1.5662827433408304	4.475275475813578	-0.44661996576230717	2.0845460920708256	0.1631173617971715	211
270000	230662	835.5344905853271	2.3211878285075214	2.375374113106885	1.7843240560020028	4.4751729597262555	-0.12548461871115799	2.0122404898238235	0.16194433873663003	220
280000	238145	866.6768658161163	2.2861969362848207	2.322790613968974	2.075211227614436	4.4752845285686	-0.12439840579437655	2.0584943322797122	0.1533132381446347	230
290000	245980	897.9512131214142	1.648012839527859	0.27469610312777903	2.075397726940564	4.475244175138471	-0.12645527137487816	2.105065261248294	0.1489768496936852	240
300001	253559	929.1878111362457	2.0976698122698094	1.326708722285025	2.1608257309695356	4.4754201974020145	-0.2224392428826017	2.1048646900294954	0.1485458902194965	251
310000	260869	960.3841869831085	2.2863287885273142	2.344977450496753	2.0775563709559903	4.475091191282815	-0.17513810071398112	2.1461516306798707	0.15384633698955613	260
320000	268064	991.742517709732	1.6765284137634857	1.3254584107103646	1.7964401619906247	4.474865391598894	-0.04698110741018734	2.0814743261917084	0.15334285097279873	270
330000	275637	1022.9821546077728	2.3758724787875987	2.3761112892952188	1.9792085611818646	4.475799838122688	0.27480817335587027	2.0076605786435913	0.15019460950551572	280
340000	283484	1054.2979435920715	1.7052162292552588	1.3255212971240335	1.7682183112935483	4.475007029982472	-0.02486085906365192	2.1103343473724707	0.15159802922500287	290
350000	291083	1085.548276424408	1.4882089696700451	0.2775040347222467	1.8068477478546203	4.474645562059887	0.0015878602349586601	2.0959038693036995	0.15571283344520237	300
360003	298563	1116.8384227752686	1.9091676456376068	2.348016067050887	1.6973429500837645	4.474830745341144	-0.025056344599283943	2.0629638669544157	0.15784199102251137	311
370000	305980	1147.971916437149	2.2732675525172974	2.3493961493813655	2.093599356106059	4.4754201974020145	-0.17480421255207831	2.124963158969169	0.15956819034676448	320
380000	313476	1179.2440738677979	1.6513445955954895	0.2319253175089707	2.071666627671819	4.47490362366753	-0.12602248341840475	2.093207861935863	0.1525532885493304	330
390000	321225	1210.5417432785034	1.822943951203634	1.2984230778872738	2.061906499456123	4.475469570468174	-0.3158012993120704	2.050193425000482	0.14926661006275233	340
400001	328965	1241.8426434993744	2.7861904920355576	3.4258995764782343	1.9431101535739592	4.475418779777651	0.18282272367234703	2.1052466811685004	0.14740679052608985	351
410001	336678	1273.8937706947327	1.905462974329562	1.3256979318983335	1.9817309163464405	4.475469570468174	-0.12439840579437655	1.9483806498002294	0.1456249832984218	361
420000	344519	1305.3130168914795	1.9118737206645648	2.374243265511571	1.3829634935446793	4.4750582008204525	-0.025049627372193913	2.0203341395853505	0.14429220697674758	370
430000	352142	1336.6515243053436	2.1509628784009616	2.3731520105611024	1.5580715346060687	4.474643837697084	0.18408468446251752	2.073730828411189	0.1491615997575087	380
440000	359099	1367.8054831027985	1.7835621341202499	1.2992078076629285	2.098616304844923	4.475469570468174	-0.4226228330069437	2.1168624749969127	0.1525764809085783	390
450003	365927	1398.9275443553925	2.0919815354514593	2.3743804638608967	1.6370807936508274	4.475275475813578	-0.17441425325541615	2.1348858285961287	0.1570840489901653	401
460000	372899	1430.1253688335419	1.8972861569205777	0.27572985732343264	2.221456409331452	4.475234973448506	-0.12602248341840475	2.054721665531042	0.16200700154660672	410
470000	379643	1461.1740720272064	0.805920135405704	0.27606305184538965	1.478814468940652	4.47487753074434	-0.30888615164084676	2.179151411101238	0.16332000982248152	420
480000	386698	1492.3755226135254	2.3393811679469025	2.372432065214653	1.7501517513883393	4.4750582008204525	0.0909126577574656	2.215419356371349	0.1611779037364631	430
490001	393730	1523.5610399246216	2.5759813650745276	2.3755158085246237	1.5648289087564968	4.47535884151505	0.18285645085618718	2.17608883911557	0.15779913405495605	441
500000	400864	1554.7886235713959	0.8331970551399608	0.27486151880214504	1.456672056876999	4.474830745341144	-0.0028847270708867723	2.064911480986478	0.15523419249371112	450
510000	407948	1586.0942676067352	1.683188761384023	1.3256101400459768	1.789020860318813	4.475799854149952	-0.03555192120443414	2.117241193305605	0.15947468946128282	460
520002	414844	1617.2262706756592	2.955292490769651	2.3770061616374916	1.5108096568705707	4.47535884151505	-0.1276271110103478	2.1381565527094972	0.1564244632969254	471
530000	421718	1648.3926177024841	1.6754808992391146	1.326186618876996	1.794959373356493	4.474670636590094	-0.2292327931968007	2.175188235067226	0.15097837421517993	480
540001	428839	1679.639526605606	2.3549318125766416	2.350223139280147	1.7249017644718558	4.475143775056189	0.18715300371616295	2.1421500079642994	0.1525227911363163	491
550000	436028	1710.8351874351501	2.33413943853724	2.375843340071895	2.0289646598600095	4.4751505466929595	-0.12550164195213154	2.0261425578360526	0.1492483808582689	500
560000	443370	1742.1224467754364	2.347660521926906	2.376698291210876	1.7532269497848827	4.475234973448506	0.09624864235289352	2.040599472513957	0.14781884107424645	510
570000	450651	1773.4014179706573	2.1379629194877108	2.3736342504133936	1.8701869729601126	4.47490362366753	0.09055994609664511	2.0351704036789555	0.15483697145712347	520
580002	457542	1804.6679162979126	2.308275670160763	2.350967268181974	1.7867949803546548	4.465539098618775	-0.0898456244518322	1.9874584756838902	0.15184082883720604	531
590000	464238	1835.835575580597	1.4851174202967548	0.2766551465492027	1.814460152621346	4.475402520047024	-0.12510657035784986	2.044724486572543	0.15065787373608253	540
600000	470956	1867.510294675827	1.8099810315815892	1.326937304012791	2.0718889797882865	4.475498550478209	-0.22252071767779705	2.0926238585760255	0.148057241619304	550
610000	478023	1898.8154389858246	2.313026729951543	2.374953230085259	1.8018770051469568	4.4752845285686	-0.046481012352726364	2.089271172384288	0.14607195170231785	560
620000	485262	1930.0608365535736	2.1457483822999026	2.373770938933075	1.5759892527653094	4.4750050400940475	0.09325930370519048	2.134380665182042	0.14520570740343425	570
630000	492335	1961.2865421772003	2.344054633161855	2.3757015076264203	2.0160958413565258	4.4752845285686	-0.02533233054432113	2.1769129516884957	0.15075989263077844	580
640001	499358	1992.4672000408173	2.134889115403032	2.3734849495231005	1.5920728391216725	4.475091191282815	-0.02490880871718454	2.143372523941461	0.146430405103727	591
650002	506469	2023.7108874320984	2.5277984466779615	2.375925739307198	1.9195687186639447	4.475275475813578	-0.024975111605894502	2.03698295978296	0.1473364692812093	601
660000	513505	2055.0057713985443	0.9818891753198722	0.18860698414471455	1.5482638852684012	4.475148122589397	-0.04655647237077689	2.0910444872562355	0.15132255878581646	610
670004	520729	2086.3050866127014	1.238417824792275	1.297021916165981	1.1836247437882657	2.375740612946984	-0.22519182664412976	2.1823796460136213	0.14814574107798859	621
680000	527872	2117.602192878723	1.2285191049549167	0.2307824078393754	1.566375721837696	4.475799854149952	-0.12455944422988423	2.1786553133000113	0.14490581036072406	630
690001	534992	2148.9281980991364	2.1095791503468386	2.3241773626355093	1.888979100479143	4.475484519952254	0.10032644716850497	2.0962989658181796	0.15004231491643974	641
700001	542093	2180.6139421463013	2.084641690740631	2.3736941397119877	1.3165818043274475	4.4754498522784525	-0.12826421185044862	2.010582120311329	0.1583718163220786	651
710000	549236	2212.5500812530518	1.460922057848278	1.2986531458270163	1.5349951299139886	4.474839385234434	-0.02450144952179122	2.13598122621279	0.15921401449556097	660
720000	556544	2244.065915584564	1.6090342846012382	1.324130703362542	1.8645116567838045	4.4752845285686	-0.22529367220777988	2.090864985551398	0.15749487699905818	670
730000	564237	2275.6103785037994	2.3302514893237736	2.3508577192902758	2.029919484717219	4.4750582008204525	-0.12479802597985509	2.1634347710849196	0.15373966126530664	680
740000	571734	2307.136390209198	2.3506838952072244	2.3730115898840802	1.7381020007025414	4.475498550478209	0.18190567176447725	2.1863846116272905	0.14835852068216498	690
750000	579196	2338.584179162979	2.1249505677934106	2.3737659379032463	1.6076540019013186	4.475484519952254	-0.12382513275747017	2.0766711117557732	0.14435699638928476	700
760001	586466	2370.023615837097	1.6868124178837054	0.2782499569890846	2.043184246589925	4.475148122589397	-0.21780145689580788	2.0629363680203094	0.13981363896774077	711
770002	593809	2401.4626247882843	2.3686452622784024	2.3483583146961324	1.9787914223091043	4.475418779777651	0.26956015423653423	2.0936223789297506	0.14085156469481258	721
