,wpm,wpm,err_lev_dist,err_lev_dist,err_lev_dist,gaze_shift_kb_to_txt,gaze_shift_kb_to_txt,gaze_shift_kb_to_txt,n_backspace,n_backspace,n_backspace,immediate_backspace,immediate_backspace,immediate_backspace,delay_backspace,delay_backspace,delay_backspace,proportion_gaze_kb,proportion_gaze_kb,proportion_gaze_kb,n_fixations_freq,n_fixations_freq,n_fixations_freq,finger_travel_dist,finger_travel_dist,finger_travel_dist
,mean,std,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
sentence_id,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.31724954505,1.2646401542305168,1.65,4.826189517948698,20,12.8,3.4883263970895237,20,2.9,2.381949665825522,20,0.85,0.9880869341680844,20,0.75,0.8506963092234007,20,0.26118318435000004,0.0558941826386161,20,35.5,9.282127705264678,20,1644.7847862949998,557.1993818951033,20
2,9.8080950415,2.191765953772681,2.1153846153846154,5.271257330671103,26,13.423076923076923,5.947591626351472,26,2.923076923076923,5.191709367236013,26,0.5769230769230769,0.7575263387144725,26,0.8461538461538461,1.2866175093572354,26,0.40302221626923074,0.05902105620054339,26,37.84615384615385,12.898658248646818,26,991.7298110523078,412.6615743906437,26
3,7.760209022615386,1.8676783731383069,2.3846153846153846,4.875054240329418,26,10.384615384615385,4.716582856915994,26,2.0384615384615383,2.690438911862066,26,0.5,0.648074069840786,26,0.46153846153846156,0.7605665904189707,26,0.3374575589230769,0.07715364396140832,26,29.423076923076923,10.878136152569803,26,1029.8618013423077,482.232506020038,26
4,5.574055879772728,2.006039178997046,1.5909090909090908,4.159430946760121,22,11.909090909090908,5.317617537681351,22,4.318181818181818,5.11195017894684,22,0.7272727272727273,0.8827348295047496,22,1.1818181818181819,1.4682793180604827,22,0.23253225622727272,0.06319554596284602,22,31.136363636363637,11.3317735111981,22,1764.631793890909,786.2890847210192,22
5,7.812865163777779,2.0573396293549204,3.6296296296296298,6.867695549836361,27,12.851851851851851,5.4115524837979985,27,4.407407407407407,3.7133776793067774,27,1.1111111111111112,0.9740215340114143,27,1.1111111111111112,1.1547005383792517,27,0.35029520585185175,0.0659148615659608,27,34.074074074074076,14.860701727726584,27,1157.5464786333337,595.0272642035499,27
6,8.367241923166667,1.9829370217537081,3.3333333333333335,7.2811051876499615,24,14.5,5.868115763061909,24,3.9166666666666665,4.02077936060494,24,1.1666666666666667,0.9168313422570846,24,0.9583333333333334,1.1220775245117836,24,0.3683724351666666,0.06759906192876966,24,41.041666666666664,15.224348823560542,24,1394.8273389820833,599.7262447137362,24
7,7.134971464375,2.3753885792033036,1.78125,5.210005108040341,32,12.90625,5.101292530709347,32,4.15625,6.70151343041738,32,0.96875,1.1495967034769894,32,0.84375,1.5263148747143211,32,0.31363740815624996,0.09929837939169635,32,36.09375,11.971361997054307,32,1570.8872088246874,897.2692753808442,32
8,8.307136708962961,2.377216035821912,3.0,5.987165760704629,27,14.703703703703704,6.150764898117049,27,4.2592592592592595,4.760353837790701,27,0.9259259259259259,1.3846945213219115,27,1.1111111111111112,1.281025230440697,27,0.36039886207407396,0.05693086918433147,27,40.55555555555556,14.521425373281883,27,1212.2367411555558,523.281871071201,27
9,9.155744532545455,2.1198230069418202,0.13636363636363635,0.6396021490668313,22,12.136363636363637,4.432514652788657,22,3.090909090909091,3.421348813790799,22,0.7272727272727273,0.7672969364884684,22,0.8181818181818182,0.906923823984585,22,0.3795753357272727,0.06267039136903747,22,33.72727272727273,8.293323867980845,22,940.3131953272731,235.5403039766153,22
10,7.985004183923077,2.161434280687336,1.1538461538461537,3.6844788797582506,26,11.346153846153847,3.94909921569269,26,3.8461538461538463,4.16357834265006,26,0.46153846153846156,0.7060180864974624,26,1.0384615384615385,0.9992304731449789,26,0.34711462761538464,0.07211360081538352,26,29.423076923076923,9.091416069779568,26,989.5393204692307,412.99859558493625,26
11,6.248727601821428,2.4753108844762663,3.7857142857142856,7.852138858685872,28,13.357142857142858,6.296467473552344,28,3.75,3.912231531435167,28,0.6785714285714286,0.9048663264720755,28,0.9642857142857143,1.0708993401928106,28,0.2899348213571429,0.06427537222107219,28,36.67857142857143,16.395694040472428,28,1587.2843255842856,833.0953842047397,28
12,8.637241692548386,1.9306060238910379,1.7096774193548387,5.15876954571596,31,13.548387096774194,4.617637994165555,31,3.838709677419355,4.831126674621206,31,0.6451612903225806,0.8774351674729475,31,1.032258064516129,1.3034280690482294,31,0.37281464119354835,0.06041951916095029,31,37.806451612903224,11.23215430461052,31,1089.7634456319356,419.42935419436725,31
13,7.910416720800002,2.364956693569576,2.2,6.110477152766612,30,14.933333333333334,5.212275519574347,30,2.966666666666667,3.1015383650512947,30,0.6666666666666666,0.802295557085754,30,0.8,0.9965457582448795,30,0.3390379332666667,0.054817469784699875,30,40.36666666666667,13.105627465496179,30,1281.1578953433336,492.89559184752414,30
14,9.068013121124999,1.9395744650274667,4.125,7.003570517957251,16,13.5,5.046450898073483,16,3.5625,2.4757153848265085,16,0.9375,0.9287087810503355,16,0.9375,0.6800735254367721,16,0.36280820606249997,0.058567932299838206,16,35.6875,13.103275671881951,16,1024.993765425,467.3280225997518,16
15,8.545958366599997,2.5173501467384627,1.64,4.357751713900185,25,13.28,4.382921400162226,25,5.36,7.532595834106593,25,0.68,0.6271629240742259,25,1.4,1.632993161855452,25,0.40125740355999995,0.060995918691817516,25,35.72,10.330053242844393,25,933.4868715639999,324.6075274903917,25
